number,university,campus,region,extend
1,서울대학교,본교(관악),seoul,4108394
2,영남대학교,본교(경북경산),gyeongsang,2622180
3,대구대학교,본교(경산),gyeongsang,2343150
4,한국외국어대학교,캠퍼스(용인왕산),gyeonggi,2229757
5,서울대학교,평창캠퍼스,gangwon,2006242
6,동아방송예술대학교,본교(경기안성),gyeonggi,1729513
7,연세대학교,분교(원주),gangwon,1629631
8,포항공과대학교,본교(포항),gyeongsang,1627255
9,충남대학교,본교(대전유성),daejeon,1600778
10,계명대학교,본교(성서),daegu,1582715
11,창원대학교,본교(창원),gyeongsang,1342789
12,경희대학교,국제캠퍼스(수원),gyeonggi,1339838
13,영진전문대학교,글로벌,gyeongsang,1319904
14,동아대학교,본교(승학),busan,1310051
15,경상대학교,본교(가좌),gyeongsang,1303005
16,홍익대학교,캠퍼스(세종),chungcheong,1290963
17,전북대학교,본교(전주덕진),jeolla,1270984
18,한양대학교,분교(안산),gyeonggi,1039249
19,조선대학교,본교,gwangju,1031447
20,강원대학교,본교(춘천),gangwon,1001311
21,전남대학교,본교(광주),gwangju,968383
22,충북대학교,본교(충북개신),chungcheong,950902
23,고려대학교,본교(서울),seoul,881298
24,신라대학교,본교(부산백양),busan,874686
25,총신대학교,제2캠퍼스(양지),gyeonggi,865528
26,위덕대학교,본교(경북경주),gyeongsang,855204
27,대구가톨릭대학교,본교(효성),gyeongsang,828694
28,연세대학교,본교(신촌),seoul,828528
29,한서대학교,태안캠퍼스,chungcheong,825759
30,군산대학교,본교(군산),jeolla,824783
31,경북대학교,본교(대구북구),daegu,805597
32,한국교원대학교,본교,chungcheong,788222
33,문경대학교,본교(문경),gyeongsang,786149
34,안동대학교,본교(안동),gyeongsang,784379
35,중앙대학교,캠퍼스(안성),gyeonggi,762240
36,대진대학교,본교(포천),gyeonggi,746947
37,선문대학교,본교(아산),chungcheong,737832
38,인천대학교,본교,incheon,722140
39,금오공과대학교,본교(경북구미),gyeongsang,687067
40,호서대학교,본교(아산),chungcheong,675664
41,원광대학교,본교(익산),jeolla,656138
42,부산대학교,본교(부산),busan,652742
43,경동대학교,설악제1캠퍼스,gangwon,641881
44,강릉원주대학교,본교(강릉),gangwon,637153
